f_date,f_time,addr,zip,boro,lat,long
2022-09-02,7:50:00,545 Academy St,10034,Manhattan,40.862749,-73.922526
2022-09-03,10:24:00,1400 Bergen St,11213,Brooklyn,40.675217,-73.938359
2022-09-03,14:05:00,595 Prospect Ave,10455,Bronx,40.813715,-73.904155
2022-09-03,16:49:00,142-29 60th Ave,11355,Queens,40.743022,-73.823861
2022-09-08,22:09:00,1462 Rosedale Ave,10460,Bronx,40.836823,-73.869851
2022-09-09,15:23:00,640 E 137th St,10454,Bronx,40.804764,-73.915811
2022-09-09,17:32:00,2110 1st Ave.,10029,Manhattan,40.791027,-73.937873
2022-09-12,3:58:00,1800 Avenue L,11230,Brooklyn,40.620635,-73.957192
2022-09-14,23:21:00,3830 Bronx Blvd,10467,Bronx,40.885622,-73.865953
2022-09-17,2:59:00,600 W 186th St,10033,Manhattan,40.852418,-73.93186
2022-09-17,7:37:00,23-26 130th St,11356,Queens,40.777834,-73.839122
2022-09-18,2:27:00,36-19 Ditmars Blvd,11105,Queens,40.774063,-73.907529
2022-09-18,5:08:00,177 Sheffield Ave,11207,Brooklyn,40.672919,-73.897028
2022-09-19,22:33:00,190 E 98th St,11212,Brooklyn,40.662766,-73.920665
2022-09-20,14:54:00,60 E 8th St,10003,Manhattan,40.730642,-73.99278
2022-09-21,6:13:00,34-50 97th St,11368,Queens,40.753722,-73.870905
2022-09-21,22:43:00,1453 WALTON AVENUE,10452,Bronx,40.840842,-73.915178
2022-09-28,11:05:00,5309 Fort Hamilton Pkwy,11219,Brooklyn,40.636163,-74.00066
2022-09-28,17:17:00,302 E 126th St,10035,Manhattan,40.803126,-73.932631
2022-09-29,18:04:00,601 W 141st St,10031,Manhattan,40.824153,-73.952677
2022-10-02,3:02:00,1280 COMMONWEALTH AVENUE,10472,Bronx,40.832401,-73.868267
2022-10-03,23:20:00,1223 BUSHWICK AVENUE,11221,Brooklyn,40.687988,-73.915094
2022-10-04,3:25:00,907 JEFFERSON AVENUE,11221,Brooklyn,40.68661,-73.922264
2022-10-05,4:00:00,365 Bond St,11231,Brooklyn,40.677899,-73.99074
2022-10-05,18:50:00,108-41 67 AVENUE,11375,Queens,40.729562,-73.846134
2022-10-06,2:00:00,42 Christopher Ave,11212,Brooklyn,40.672625,-73.906731
2022-10-06,3:12:00,52 ST NICHOLAS PLACE,10031,Manhattan,40.828963,-73.940935
2022-10-07,10:04:00,624 MacDonough St,11233,Brooklyn,40.683439,-73.921408
2022-10-08,22:33:00,1567 77th St,11228,Brooklyn,40.615539,-74.002464
2022-10-11,3:56:00,4216 White Plains Rd,10466,Bronx,40.893921,-73.856875
2022-10-13,10:53:00,122 Franklin Ave,11205,Brooklyn,40.695249,-73.958335
2022-10-13,15:48:00,90-14 161st St,11432,Queens,40.705044,-73.799303
2022-10-16,6:42:00,104-02 Roosevelt Ave,11368,Queens,40.749778,-73.861434
2022-10-16,23:53:00,32-38 154th St,11354,Queens,40.76883,-73.81065
2022-10-17,18:35:00,33 Beekman ST,10022,Manhattan,40.753652,-73.964417
2022-10-22,1:40:00,1847 UNIVERSITY AVENUE,10453,Bronx,40.851769,-73.914444
2022-10-22,5:35:00,2575 SEDGWICK AVENUE,10468,Bronx,40.868485,-73.906719
2022-10-24,10:26:00,605 Glenmore Ave,11207,Brooklyn,40.674494,-73.887834
2022-10-25,8:16:00,4455 BROADWAY,10040,Manhattan,40.857186,-73.932608
2022-10-25,21:43:00,3080 HULL AVENUE,10467,Bronx,40.872091,-73.878519
2022-10-26,11:53:00,59-62 54 AVENUE,11378,Queens,40.729372,-73.907757
2022-10-26,14:00:00,E 125 Street and Lexington Ave,10035,Manhattan,40.804373,-73.937418
2022-10-29,7:51:00,3496 BROADWAY,10031,Manhattan,40.82484,-73.951287
2022-10-29,15:29:00,3550 Conner St,10475,Bronx,40.885515,-73.82692
2022-10-30,14:13:00,566 VANDERBILT AVENUE,11238,Brooklyn,40.679735,-73.968313
2022-10-31,21:49:00,1433 Greene Ave,11237,Brooklyn,40.701801,-73.915994
2022-10-31,23:23:00,91 E 46th St,11203,Brooklyn,40.659869,-73.934993
2022-11-05,10:24:00,429 E 52nd St,10022,Manhattan,40.754944,-73.963688
2022-11-06,5:27:00,350 Blake Ave,11212,Brooklyn,40.665882,-73.906307
2022-11-10,9:19:00,884 55 STREET,11220,Brooklyn,40.63699,-74.004636
2022-11-13,5:37:00,1125 Findlay Ave,10456,Bronx,40.830707,-73.913718
