Year,Date,Time,Address,Borough,zip,Latitude,Longitude
2022,2022-01-29,15:25:00,"237 E 20th St, New York, NY 10003, USA",Manhattan,10003,40.736302,-73.982686
2022,2022-02-03,6:01:00,"55 Richman Plaza, Bronx, NY 10453, USA",Bronx,10453,40.851742,-73.922583
2022,2022-02-03,9:32:00,"103-08 42 AVENUE,QUEENS,NY 11368",Queens,11368,40.747844,-73.862026
2022,2022-02-03,13:55:00,"557 BEACH43 STREET,QUEENS,NY 11691",Queens,11691,40.600193,-73.775458
2022,2022-02-18,5:43:00,"805 E 182nd St, Bronx, NY 10460, USA",Bronx,10460,40.848798,-73.883873
2022,2022-02-20,3:52:00,"853 FLATBUSH AVENUE,BROOKLYN,NY 11226",Brooklyn,11226,40.651493,-73.958822
2022,2022-02-23,2:04:00,"400 Brook Ave, Bronx, NY 10454, USA",Bronx,10454,40.811148,-73.916874
2022,2022-02-25,5:19:00,"104-32 Corona Ave., Flushing, NY 11368, USA",Queens,11368,40.743817,-73.857591
2022,2022-02-25,13:38:00,"461 Dean St, Brooklyn, NY 11217, USA",Brooklyn,11217,40.681884,-73.975487
2022,2022-03-01,22:53:00,"1808 3rd Ave, New York, NY 10029, USA",Manhattan,10029,40.788111,-73.947419
2022,2022-03-02,0:52:00,"1069 1st Ave., New York, NY 10022, USA",Manhattan,10022,40.759278,-73.96244
2022,2022-03-03,11:04:00,"2402 ATLANTIC AVENUE,BROOKLYN,NY 11233",Brooklyn,11233,40.675855,-73.905248
2022,2022-03-04,4:00:00,"30-27 GREENPOINT AVENUE,QUEENS,NY 11101",Queens,11101,40.73728,-73.943054
2022,2022-03-07,20:45:00,"55-28 138 STREET,QUEENS,NY 11355",Queens,11355,40.74883,-73.827052
2022,2022-03-08,13:18:00,"1682 Seward Ave, Bronx, NY 10473, USA",Bronx,10473,40.817695,-73.868593
2022,2022-03-10,15:10:00,"2648 E 12th St, Brooklyn, NY 11235, USA",Brooklyn,11235,40.586362,-73.958091
2022,2022-03-12,21:17:00,"575 Ocean Ave, Brooklyn, NY 11226, USA",Brooklyn,11226,40.648677,-73.960433
2022,2022-03-13,0:30:00,"37-54 81st St, Queens, NY 11372, USA",Queens,11372,40.748069,-73.885108
2022,2022-03-13,4:54:00,"1842 Flatbush Ave, Brooklyn, NY 11210, USA",Brooklyn,11210,40.624739,-73.939364
2022,2022-03-14,9:43:00,"83 Circle Loop, Staten Island, NY 10304, USA",Staten Island,10304,40.613675,-74.080258
2022,2022-03-15,13:38:00,"491 E 162nd St, Bronx, NY 10451, USA",Bronx,10451,40.8236,-73.909335
2022,2022-03-17,6:05:00,"40-10 MAIN STREET,QUEENS,NY 11354",Queens,11354,40.75926,-73.83019
2022,2022-03-18,2:24:00,"407 37 STREET,BROOKLYN,NY 11232",Brooklyn,11232,40.653683,-74.004683
2022,2022-03-18,5:53:00,"34-11 31st St, Queens, NY 11106, USA",Queens,11106,40.759219,-73.927355
2022,2022-03-20,23:42:00,"1170 229 DRIVE SOUTH,BRONX,NY 10466",Bronx,10466,40.885284,-73.845775
2022,2022-03-23,14:40:00,"559 WEST  156 STREET,MANHATTAN,NY 10032",Manhattan,10032,40.833355,-73.944899
2022,2022-03-25,17:12:00,"46 ELDRIDGE STREET,MANHATTAN,NY 10002",Manhattan,10002,40.715901,-73.993008
2022,2022-03-28,20:43:00,"854 SOUTHERN BOULEVARD,BRONX,NY 10459",Bronx,10459,40.817544,-73.894499
2022,2022-04-01,6:20:00,"2051 WEBSTER AVENUE,BRONX,NY 10457",Bronx,10457,40.851389,-73.898918
2022,2022-04-03,19:30:00,"80-22 88th Rd, Jamaica, NY 11421, USA",Queens,11421,40.689385,-73.860617
2022,2022-04-07,18:29:00,"191-37 115 AVENUE,QUEENS,NY 11412",Queens,11412,40.696408,-73.760424
2022,2022-04-09,16:55:00,"144 8th Ave, New York, NY 10011, USA",Manhattan,10011,40.741698,-74.000881
2022,2022-04-09,21:45:00,"1952 1st Ave., New York, NY 10029, USA",Manhattan,10029,40.78626,-73.94229
2022,2022-04-13,8:00:00,"887 Bryant Ave, Bronx, NY 10474, USA",Bronx,10474,40.819696,-73.887018
2022,2022-04-13,23:56:00,"2733 BARKER AVENUE,BRONX,NY 10467",Bronx,10467,40.865787,-73.869284
2022,2022-04-16,11:55:00,"1260 WEBSTER AVENUE,BRONX,NY 10456",Bronx,10456,40.83296,-73.908519
2022,2022-04-20,21:05:00,"638 39th St, Brooklyn, NY 11232, USA",Brooklyn,11232,40.649133,-74.000924
2022,2022-04-21,3:59:00,"374 EAST9 STREET,BROOKLYN,NY 11218",Brooklyn,11218,40.667827,-73.983903
2022,2022-04-21,6:23:00,"286 FORT WASHINGTON AVENUE,MANHATTAN,NY 10032",Manhattan,10032,40.844841,-73.940557
2022,2022-04-26,1:30:00,"422 Jerome St, Brooklyn, NY 11207, USA",Brooklyn,11207,40.671319,-73.886369
2022,2022-04-26,4:13:00,"169-04 88th Ave, Jamaica, NY 11432, USA",Queens,11432,40.709943,-73.79242
2022,2022-04-29,14:03:00,"825 44th St, Brooklyn, NY 11220, USA",Brooklyn,11220,40.644138,-73.999417
2022,2022-05-02,7:07:00,"5401 7th Ave, Brooklyn, NY 11220, USA",Brooklyn,11220,40.640041,-74.008194
2022,2022-05-06,3:52:00,"300 E 33rd St, New York, NY 10016, USA",Manhattan,10016,40.743343,-73.975873
2022,2022-05-06,9:36:00,"36-13 109th St, Flushing, NY 11368, USA",Queens,11368,40.754451,-73.858573
2022,2022-05-06,11:01:00,"218-42 140th Ave, Queens, NY 11413, USA",Queens,11413,40.671875,-73.754955
2022,2022-05-08,11:18:00,"969 43 STREET,BROOKLYN,NY 11219",Brooklyn,11219,40.64263,-73.995446
2022,2022-05-08,14:44:00,"408 59 STREET,BROOKLYN,NY 11220",Brooklyn,11220,40.641198,-74.017621
2022,2022-05-09,13:24:00,"3 Pike St, New York, NY 10002, USA",Manhattan,10002,40.714113,-73.992381
2022,2022-05-09,13:32:00,"95-55 110 STREET,QUEENS,NY 11419",Queens,11419,40.689173,-73.834266
2022,2022-05-09,13:51:00,"30-05 41 STREET,QUEENS,NY 11103",Queens,11103,40.763244,-73.914275
2022,2022-05-10,8:27:00,"32-40 54 STREET,QUEENS,NY 11377",Queens,11377,40.754252,-73.907021
2022,2022-05-14,19:00:00,"94-16 54th Ave, Flushing, NY 11373, USA",Queens,11373,40.738538,-73.86778
2022,2022-05-15,14:29:00,"326 AUDUBON AVENUE,MANHATTAN,NY 10033",Manhattan,10033,40.848931,-73.932372
2022,2022-05-16,0:04:00,"35-27 81st St, Jackson Heights, NY 11372, USA",Queens,11372,40.750814,-73.885325
2022,2022-05-16,22:05:00,"29 Brighton 5th Ln, Brooklyn, NY 11235, USA",Brooklyn,11235,40.580169,-73.963351
2022,2022-05-18,6:58:00,"120 Menahan St, Brooklyn, NY 11221, USA",Brooklyn,11221,40.695261,-73.919641
2022,2022-05-18,18:46:00,"80-41 259 STREET,QUEENS,NY 11004",Queens,11004,40.743538,-73.711402
2022,2022-05-22,14:30:00,"14 E 28th St, New York, NY 10016, USA",Manhattan,10016,40.744246,-73.986482
2022,2022-05-23,7:11:00,"100 LINDEN STREET,BROOKLYN,NY 11221",Brooklyn,11221,40.692877,-73.919761
2022,2022-05-24,18:55:00,"3408 Church Ave, Brooklyn, NY 11203, USA",Brooklyn,11203,40.650903,-73.945352
2022,2022-05-25,5:53:00,"350 Madison St, New York, NY 10002, USA",Manhattan,10002,40.71311,-73.982398
2022,2022-05-27,7:17:00,"2205 Davidson Ave, Bronx, NY 10453, USA",Bronx,10453,40.857709,-73.905609
2022,2022-05-29,3:02:00,"902 Cortelyou Rd, Brooklyn, NY 11218, USA",Brooklyn,11218,40.638789,-73.969643
2022,2022-05-30,13:12:00,"58-65 52nd Rd, Flushing, NY 11377, USA",Queens,11377,40.734463,-73.90737
2022,2022-06-01,7:31:00,"589 E 93rd St, Brooklyn, NY 11236, USA",Brooklyn,11236,40.653086,-73.916332
2022,2022-06-01,19:44:00,"71 W 23rd St, New York, NY 10010, USA",Manhattan,10010,40.74287,-73.992333
2022,2022-06-03,7:28:00,"2371 EXTERIOR STREET,BRONX,NY 10468",Bronx,10468,40.865129,-73.910818
2022,2022-06-06,11:16:00,"100 W 105th St, New York, NY 10025, USA",Manhattan,10025,40.798614,-73.963744
2022,2022-06-08,9:10:00,"134 MORGAN AVENUE,BROOKLYN,NY 11237",Brooklyn,11237,40.708899,-73.932677
2022,2022-06-11,8:31:00,"134-34 Franklin Ave, Queens, NY 11355, USA",Queens,11355,40.753813,-73.828643
2022,2022-06-13,16:03:00,"145-33 WILLETS POINT BOULEVARD,QUEENS,NY 11357",Queens,11357,40.776959,-73.82297
2022,2022-06-18,11:10:00,"725 11th Ave, New York, NY 10019, USA",Manhattan,10019,40.7668,-73.994186
2022,2022-06-20,8:06:00,"39 Post Ave, New York, NY 10034, USA",Manhattan,10034,40.863168,-73.923846
2022,2022-06-20,12:01:00,"33-34 71st St, Jackson Heights, NY 11372, USA",Queens,11372,40.753442,-73.895574
2022,2022-06-20,16:33:00,E 167 ST and SOUTHERN BLVD Bronx,Bronx,10459,40.826794,-73.891913
2022,2022-06-27,15:35:00,"108-30 38 AVENUE,QUEENS,NY 11368",Queens,11368,40.75258,-73.858354
